id,source,target
0,1,6
1,1,9
2,1,25
3,2,5
4,2,11
5,2,14
6,2,15
7,2,20
8,3,4
9,3,8
10,3,12
11,3,16
12,3,23
13,3,24
14,3,25
15,4,12
16,4,14
17,4,17
18,5,6
19,5,7
20,5,13
21,6,8
22,6,10
23,6,15
24,6,17
25,6,21
26,7,11
27,7,13
28,7,15
29,7,19
30,7,25
31,8,10
32,8,13
33,8,21
34,8,24
35,9,15
36,9,18
37,9,21
38,9,22
39,9,23
40,9,25
41,10,11
42,10,12
43,10,19
44,10,21
45,10,24
46,10,25
47,11,15
48,11,23
49,12,20
50,12,22
51,12,23
52,13,19
53,14,22
54,15,20
55,15,21
56,15,22
57,16,17
58,16,18
59,16,20
60,16,25
61,17,18
62,17,19
63,17,20
64,17,21
65,17,24
66,18,22
67,18,25
68,19,21
69,19,24
70,21,23
71,21,25
72,22,23
73,22,24
74,23,25
75,26,29
76,26,30
77,26,31
78,26,35
79,26,45
80,26,50
81,27,35
82,27,39
83,27,45
84,27,46
85,27,50
86,28,29
87,28,36
88,28,42
89,28,47
90,29,30
91,29,33
92,29,34
93,29,35
94,29,45
95,30,31
96,30,39
97,30,43
98,30,46
99,30,47
100,31,39
101,31,45
102,32,35
103,32,36
104,32,37
105,32,45
106,32,46
107,33,38
108,33,39
109,33,42
110,33,43
111,33,47
112,33,49
113,34,38
114,34,42
115,34,45
116,34,46
117,34,47
118,35,47
119,35,49
120,36,40
121,36,42
122,36,44
123,37,38
124,37,44
125,37,45
126,37,48
127,37,50
128,38,39
129,38,44
130,39,42
131,39,43
132,39,46
133,39,50
134,40,47
135,40,50
136,41,46
137,41,47
138,42,44
139,42,45
140,42,47
141,42,48
142,42,49
143,44,46
144,44,49
145,45,48
146,46,47
147,46,48
148,46,50
149,47,49
150,51,57
151,51,58
152,51,68
153,51,69
154,51,72
155,52,53
156,52,55
157,52,57
158,52,66
159,52,69
160,52,71
161,53,57
162,53,58
163,53,59
164,53,60
165,53,63
166,53,65
167,53,67
168,53,71
169,54,57
170,54,60
171,54,62
172,54,63
173,54,64
174,54,70
175,54,74
176,55,56
177,55,57
178,55,66
179,56,66
180,57,65
181,57,67
182,57,70
183,58,63
184,58,65
185,58,66
186,58,68
187,58,71
188,58,73
189,59,62
190,59,68
191,59,69
192,59,74
193,60,65
194,60,66
195,60,69
196,60,72
197,60,73
198,61,67
199,61,69
200,62,69
201,62,71
202,62,72
203,62,74
204,63,65
205,63,70
206,63,71
207,63,73
208,63,74
209,64,69
210,64,75
211,65,67
212,65,70
213,65,74
214,66,68
215,66,71
216,66,73
217,67,75
218,68,70
219,68,71
220,68,73
221,69,70
222,70,71
223,71,75
224,74,75
225,76,77
226,76,80
227,76,81
228,76,84
229,76,87
230,76,89
231,76,94
232,77,79
233,77,82
234,77,85
235,77,97
236,77,100
237,78,79
238,78,82
239,78,87
240,78,88
241,78,92
242,78,95
243,79,81
244,79,84
245,79,90
246,79,99
247,79,100
248,80,81
249,80,86
250,80,91
251,80,94
252,80,95
253,81,83
254,81,85
255,81,89
256,81,90
257,81,91
258,81,94
259,81,96
260,82,90
261,82,91
262,82,93
263,82,99
264,83,85
265,83,90
266,83,93
267,83,94
268,83,98
269,84,86
270,84,88
271,84,89
272,84,94
273,84,95
274,84,98
275,85,89
276,85,90
277,85,93
278,85,97
279,85,98
280,86,95
281,86,96
282,86,99
283,87,92
284,87,96
285,88,100
286,89,91
287,90,92
288,90,100
289,91,92
290,91,96
291,91,100
292,92,94
293,92,98
294,93,94
295,93,96
296,93,99
297,95,97
298,95,100
299,96,97
300,101,114
301,101,115
302,101,118
303,101,123
304,102,103
305,102,109
306,102,112
307,102,122
308,102,123
309,103,106
310,103,110
311,103,112
312,103,117
313,103,118
314,103,120
315,103,121
316,103,122
317,104,108
318,104,114
319,104,117
320,105,108
321,105,112
322,105,116
323,105,122
324,105,125
325,106,116
326,106,119
327,106,125
328,107,108
329,107,113
330,107,114
331,107,118
332,107,119
333,107,125
334,108,109
335,108,111
336,108,114
337,108,119
338,108,121
339,108,124
340,109,112
341,109,118
342,110,114
343,110,116
344,110,117
345,110,120
346,111,114
347,111,115
348,111,117
349,112,113
350,112,117
351,112,118
352,112,119
353,112,121
354,112,124
355,113,121
356,114,115
357,114,116
358,114,119
359,114,123
360,115,117
361,115,121
362,116,117
363,116,118
364,116,119
365,116,121
366,117,120
367,117,123
368,119,121
369,119,122
370,120,121
371,120,123
372,120,124
373,121,125
374,124,125
375,67,53
376,4,82
377,117,45
378,82,110
379,62,12
380,9,52
381,80,54
382,30,11
383,110,20
384,10,110
385,96,32
386,99,73
387,34,16
388,67,123
389,66,51
